audit_rank,axis,item_id,dataset,gen_model,task,episode,test_split,gold_score,b47_ckpt200_score,diff_model_minus_gold,direction,gold_subscores,gold_subscore_sum,video_url,init_frame_url,b47_reasoning,audit_bucket,review_status
26,PA,data__agibot_world__generated_data__cogvideo_i2v_f113_rewrite__task_0181__episode_0001__1__task_0181_episode_0001,agibot_world,cogvideo_i2v_f113_rewrite,task_0181,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/cogvideo_i2v_f113_rewrite/task_0181/episode_0001/1/task_0181_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/cogvideo_i2v_f113_rewrite/task_0181/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two black robotic grippers remain mostly recognizable, with the left arm over the white tray of cylindrical containers and the right arm near the blue bin. However, the fingers and wrist housings shift shape and spacing between frames; the right gripper sometimes looks detached or flattened against the bin. Scene & object consistency: the white table, two white trays, blue rectangular bin, gray floor, stacked cylinders, and labeled packets are identifiable, but the contents change abruptly. The left tray goes from holding four cylinders to being nearly empty, while the right tray suddenly contains a large pile of packets without a visible transfer. The blue bin also changes from empty to holding a pale object and then appears empty again; the object seems to vanish rather than be placed. Interaction realism: the sorting is not physically convincing, because the grippers do not show stable grasps on the cylinders or packets. Several items appear to slide, pop, or teleport between trays and bin, with little collision response, weight, or inertia. Overall the scene has major object persistence and contact violations, despite a mostly stable tabletop layout and recognizable robot arms.",outside_194_absdiff1,unreviewed_audit_sample
27,PA,data__agibot_world__generated_data__wan22_ti2v5b_1280x704_f169_rewrite__task_0192__episode_0001__1__task_0192_episode_0001,agibot_world,wan22_ti2v5b_1280x704_f169_rewrite,task_0192,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0192/episode_0001/1/task_0192_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0192/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two black robot grippers remain mostly recognizable, but their positions and scale shift abruptly as the camera moves; the right gripper becomes a small black block near the open door and then is partly hidden by the hand. Scene & object consistency: the silver refrigerator, white counter, sink, and open door are identifiable, but the door state is inconsistent; it appears open with the interior visible, then the view cuts to the closed silver front and the door edge is no longer clearly present. The white drawer and door shelf also change visibility and alignment, with the drawer seeming to slide out and then be occluded by the door without a continuous path. Interaction realism: the human hand is the main actor, but it does not physically open the refrigerator door; the door opens while the hand is near the gripper, and the robot does not pull the handle. The drawer is pulled by a hand, yet the contact is ambiguous and the drawer motion looks like a camera jump rather than a mechanically guided pull. Overall there are major physical and temporal violations, especially the door opening without a clear cause, abrupt scene changes, and weak contact between the hand, robot, and refrigerator.",outside_194_absdiff1,unreviewed_audit_sample
28,PA,data__droid__generated_data__cogvideo_i2v_f113_rewrite__task_0181__episode_0001__1__task_0181_episode_0001,droid,cogvideo_i2v_f113_rewrite,task_0181,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/cogvideo_i2v_f113_rewrite/task_0181/episode_0001/1/task_0181_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/cogvideo_i2v_f113_rewrite/task_0181/episode_0001/1/prompt/init_frame.png,"Agent integrity: the robot arm on the left remains mostly structurally consistent, but the visible end effector/hand at the right edge is ambiguous and appears as a gray glove-like shape that is not clearly connected to the robot; it does not show severe melting, though its identity is unclear. Scene & object consistency: the kitchen background is mostly stable, but the beige cloth/towel changes size and position abruptly, appearing to expand from the sink area into a large mound that covers the counter and gray mat. The sink basin also appears to change shape/contents slightly as the cloth enters. Interaction realism: the cloth motion is physically implausible: it seems to launch or inflate across the counter without a clear grasp or force, grows into a large triangular mass, and then remains suspended at a steep angle with little sagging or settling under gravity. The hand at the right edge does not convincingly support the cloth, and the cloth appears to interpenetrate or cover objects without realistic contact dynamics. Overall there are major physical violations despite a mostly stable background.",outside_194_absdiff1,unreviewed_audit_sample
29,PA,data__open_x_embodiment__generated_data__cogvideo_i2v_f113_rewrite__task_0018__episode_0001__1__task_0018_episode_0001,open_x_embodiment,cogvideo_i2v_f113_rewrite,task_0018,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cogvideo_i2v_f113_rewrite/task_0018/episode_0001/1/task_0018_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cogvideo_i2v_f113_rewrite/task_0018/episode_0001/1/prompt/init_frame.png,"Agent integrity: the black robot gripper/arm is not structurally consistent; it appears to merge with a human hand and a dark glove-like mass, with fingers and wrist boundaries becoming indistinct and warped. The hand/glove shape changes and then disappears abruptly, suggesting deformation rather than a coherent agent. Scene & object consistency: the stove/counter background is mostly stable, but the manipulated object is inconsistent: the robot/gripper seems to become a human hand, the dark glove-like material changes shape, and the handle/attachment area appears to morph from a knob/handle to a larger curved metal handle. Interaction realism: the contact is physically implausible. The hand/gripper does not maintain a clear grasp, appears to interpenetrate the stove/handle area, and the handle/object changes position or form without a believable force. The agent then vanishes from the scene abruptly, with no physically plausible motion. Overall there are major physical and temporal violations.",outside_194_absdiff1,unreviewed_audit_sample
30,PA,data__open_x_embodiment__generated_data__cogvideo_i2v_f113_rewrite__task_0030__episode_0001__1__task_0030_episode_0001,open_x_embodiment,cogvideo_i2v_f113_rewrite,task_0030,episode_0001,id,1,2,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cogvideo_i2v_f113_rewrite/task_0030/episode_0001/1/task_0030_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/cogvideo_i2v_f113_rewrite/task_0030/episode_0001/1/prompt/init_frame.png,"Agent integrity: the robot arm is only partially consistent; the white arm and black gripper smear and change shape as it moves, with the fingers becoming indistinct and sometimes appearing fused or warped. Scene & object consistency: the blue object changes from a flat disk into a large rounded ball, the yellow object shifts and deforms, and the blue patterned item near the left changes shape and position. The background is mostly stable, but the manipulated objects morph noticeably. Interaction realism: the blue object appears to jump or inflate into the gripper without a physically plausible grasp, the gripper seems to intersect or stick to the object rather than close around it, and the object’s motion does not consistently follow gravity or contact constraints. Overall there are major physical and temporal inconsistencies, though the scene remains recognizable.",outside_194_absdiff1,unreviewed_audit_sample
31,PA,data__agibot_world__generated_data__cogvideo_i2v_f113_prefix__task_0028__episode_0001__1__task_0028_episode_0001,agibot_world,cogvideo_i2v_f113_prefix,task_0028,episode_0001,id,2,3,1,model_higher_by_1,0/1/0,1,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/cogvideo_i2v_f113_prefix/task_0028/episode_0001/1/task_0028_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/cogvideo_i2v_f113_prefix/task_0028/episode_0001/1/prompt/init_frame.png,"Agent integrity: the right robot arm and two-finger gripper remain mostly structurally consistent, with no obvious extra fingers or complete melting, though the gripper fingers and wrist show some motion blur and slight shape warping during fast movement. The left robot arm stays static and consistent. Scene & object consistency: the produce display, cart, bag, and background are largely stable, but the red object in the plastic bag appears to change position/visibility abruptly early on, and the bag shape shifts somewhat unnaturally. Interaction realism: the right gripper moves over the vegetables and bag, but the contact is not physically convincing; the red object seems to appear or settle in the bag without a clear grasp-and-release, and the gripper hovers near or over objects without consistently bearing weight or causing expected contact. There is no catastrophic interpenetration, but the manipulation physics are noticeably inconsistent.",outside_194_absdiff1,unreviewed_audit_sample
32,PA,data__agibot_world__generated_data__gigaworld_gr1_2b_f113_prefix__task_0166__episode_0001__1__task_0166_episode_0001,agibot_world,gigaworld_gr1_2b_f113_prefix,task_0166,episode_0001,id,2,3,1,model_higher_by_1,2/1/0,3,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/gigaworld_gr1_2b_f113_prefix/task_0166/episode_0001/1/task_0166_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/gigaworld_gr1_2b_f113_prefix/task_0166/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two white robot arms and black grippers remain mostly recognizable, with the wrist housings, cables, and finger linkages keeping their general shapes. However, the left gripper becomes heavily blurred and partially smeared during fast motion, and its fingers sometimes look fused or misaligned with the white wrist block. Scene & object consistency: the black glass cooktop, white counter, window, sink, plate, bowl, red dish stack, and chopsticks stay in roughly fixed positions. The small white rectangular item is less consistent; it appears near the left gripper and then seems to vanish or be hidden without a clear continuous path. The yellow note on the cooktop and the chopsticks on the plate remain stable, but the manipulated object's visibility changes abruptly. Interaction realism: the right gripper hovers over the cooktop and plate area, but it does not visibly grasp the white item or the chopsticks. The left gripper moves near the plate and bowl, yet contact is ambiguous, with possible interpenetration and no convincing lifting or placement. Overall the kitchen layout is coherent, but the object continuity and contact physics are noticeably inconsistent, leaving the manipulation only partially physically plausible.",outside_194_absdiff1,unreviewed_audit_sample
33,PA,data__gr1_inlab__generated_data__gigaworld_gr1_2b_f113_prefix__task_0153__episode_0001__1__task_0153_episode_0001,gr1_inlab,gigaworld_gr1_2b_f113_prefix,task_0153,episode_0001,id,2,3,1,model_higher_by_1,0/0/2,2,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/gigaworld_gr1_2b_f113_prefix/task_0153/episode_0001/1/task_0153_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/gigaworld_gr1_2b_f113_prefix/task_0153/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two black robotic hands and forearms remain mostly coherent, with the left hand open near the plate and the right gripper keeping its fingers and wrist shape. The right arm shows some motion blur and glossy warping during the fast reach, but it does not gain extra parts or collapse. Scene & object consistency: the wooden table, white curtain, yellow plate, and yellow corn cob stay recognizable, but the corn changes from a husked cob to a bare corn with a different orientation. A second yellow cob-like object appears in the right gripper after the first cob is already on the plate, creating a clear duplication or morphing inconsistency. Interaction realism: the right gripper approaches the corn and lifts it in a broadly plausible way, but the grasp is not always visibly secure, and the cob seems to stick to the hand. The placement on the plate is only partly convincing, because the cob appears to pop into position and then another cob remains in the gripper, violating object conservation. Overall the robot motion is understandable, but the duplicated corn, object morphing, and ambiguous contact make the manipulation physically unreliable.",outside_194_absdiff1,unreviewed_audit_sample
34,PA,data__gr1_inlab__generated_data__wan26_flash_prefix__task_0020__episode_0001__1__task_0020_episode_0001,gr1_inlab,wan26_flash_prefix,task_0020,episode_0001,id,2,3,1,model_higher_by_1,0/0/0,0,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wan26_flash_prefix/task_0020/episode_0001/1/task_0020_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wan26_flash_prefix/task_0020/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two black robotic hands and forearms remain structurally consistent, with no extra fingers, melting, or warping; the human gloved hand also keeps a plausible shape. Scene & object consistency: the wooden table, white curtain, beige cloth, and right-side robot hand stay stable, but the beige cloth changes from a narrow strip to a large folded sheet. The cloth's size and crease pattern shift abruptly, and the right robot hand never visibly grasps it, so the object identity is only partly consistent. Interaction realism: the human hand appears to lift and place the cloth, but the motion is too smooth and the sheet seems to slide into position without clear contact. The final folded layout is plausible, yet the sudden expansion, weak contact cues, and robot hand staying idle create major physical realism issues.",outside_194_absdiff1,unreviewed_audit_sample
35,PA,data__gr1_inlab__generated_data__wow_wan14b_f105_prefix__task_0168__episode_0001__1__task_0168_episode_0001,gr1_inlab,wow_wan14b_f105_prefix,task_0168,episode_0001,id,2,3,1,model_higher_by_1,2/0/2,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wow_wan14b_f105_prefix/task_0168/episode_0001/1/task_0168_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/gr1_inlab/generated_data/wow_wan14b_f105_prefix/task_0168/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two black robotic hands and silver forearms remain mostly coherent, with fingers, wrists, and palm plates keeping their general shapes. The hands blur and overlap during the approach, but there is no severe melting or extra limb formation. Scene & object consistency: the wooden table, white curtain, yellow plate, and yellow corn stay recognizable, with the plate fixed at the left. The corn is less consistent; it changes from a single cob to a duplicated-looking pair, and its orientation shifts abruptly. Interaction realism: the hands move toward the corn and the plate in a plausible path, but the grasp is not physically convincing. The corn appears to be pinched between both hands without a clear stable grip, then it seems to jump onto the plate. The final placement is plausible, but the pickup and release show noticeable contact, duplication, and temporal discontinuity.",outside_194_absdiff1,unreviewed_audit_sample
36,PA,data__droid__generated_data__kling_rewrite__task_0109__episode_0001__1__task_0109_episode_0001,droid,kling_rewrite,task_0109,episode_0001,id,3,4,1,model_higher_by_1,2/0/0,2,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/kling_rewrite/task_0109/episode_0001/1/task_0109_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/kling_rewrite/task_0109/episode_0001/1/prompt/init_frame.png,"Agent integrity: the robot arm, wrist, cables, and two-finger gripper remain structurally consistent throughout; there is no visible melting, extra parts, or deformation. Scene & object consistency: the table, curtain, bowl, and green object remain stable with no obvious teleporting or morphing; the bowl stays in place and the green object keeps a consistent identity. Interaction realism: the robot approaches the green object, appears to grasp it, lifts it, carries it over the bowl, and releases it. The overall motion is physically plausible, but the exact contact is somewhat ambiguous: the green object seems to stick to the gripper without a clearly visible secure pinch, and during the drop it appears to hover or fall with a slightly unnatural trajectory before landing in the bowl. No severe interpenetration or impossible motion is evident.",outside_194_absdiff1,unreviewed_audit_sample
37,PA,data__robotwin__generated_data__wan22_ti2v5b_1280x704_f169_prefix__task_0108__episode_0001__1__task_0108_episode_0001,robotwin,wan22_ti2v5b_1280x704_f169_prefix,task_0108,episode_0001,id,3,4,1,model_higher_by_1,1/2/0,3,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/wan22_ti2v5b_1280x704_f169_prefix/task_0108/episode_0001/1/task_0108_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/wan22_ti2v5b_1280x704_f169_prefix/task_0108/episode_0001/1/prompt/init_frame.png,"Agent integrity: the robot arm and two-finger gripper remain structurally consistent throughout; the black fingers, wrist, and arm do not visibly melt, duplicate, or warp, aside from normal motion blur and slight visual ambiguity as the fingers move. Scene & object consistency: the cup, tabletop, and background remain stable with no major flicker or morphing. The red objects inside the cup are mostly consistent, though their exact count/positions are somewhat hard to track and appear to shift slightly between frames, which could be due to occlusion or motion but is a minor temporal inconsistency. Interaction realism: the gripper moves near and over the cup without a clear physical contact or grasp. The cup stays stationary on the table, which is plausible, and there is no obvious interpenetration. The red objects inside the cup move or change position without a clearly visible cause, but this is subtle and could be due to small vibrations or occlusion. Overall the physics are mostly plausible with only minor local inconsistencies.",outside_194_absdiff1,unreviewed_audit_sample
38,PA,data__agibot_world__generated_data__wan22_ti2v5b_1280x704_f169_rewrite__task_0012__episode_0001__1__task_0012_episode_0001,agibot_world,wan22_ti2v5b_1280x704_f169_rewrite,task_0012,episode_0001,id,3,2,-1,model_lower_by_1,0/1/1,2,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0012/episode_0001/1/task_0012_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wan22_ti2v5b_1280x704_f169_rewrite/task_0012/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two robot grippers remain mostly structurally consistent, but the white-gloved human hand/arm shows noticeable deformation and blur, with fingers sometimes merging into a mitten-like shape and changing silhouette as it moves. Scene & object consistency: the fruit display, bananas, strawberries, cart, and background are fairly stable, but the yellow fruit in the plastic bag changes count and arrangement abruptly; several lemons appear to materialize or multiply between frames, and the bag contents shift in ways that are not fully continuous. Interaction realism: the hand’s motion is broadly plausible, but the fruit handling is physically questionable: multiple lemons seem to be lifted or deposited without a clear grasp, the bag fills rapidly with little visible pouring or collision response, and some fruit positions change without realistic contact. Overall there are major object-consistency and contact-physics violations, though the scene is not completely broken throughout.",outside_194_absdiff1,unreviewed_audit_sample
39,PA,data__agibot_world__generated_data__wow_wan14b_f105_rewrite__task_0149__episode_0001__1__task_0149_episode_0001,agibot_world,wow_wan14b_f105_rewrite,task_0149,episode_0001,id,3,2,-1,model_lower_by_1,2/0/2,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wow_wan14b_f105_rewrite/task_0149/episode_0001/1/task_0149_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/agibot_world/generated_data/wow_wan14b_f105_rewrite/task_0149/episode_0001/1/prompt/init_frame.png,"Agent integrity: the two white robot arms and black multi-finger grippers remain mostly recognizable, with the left arm near the box and the right arm moving in from the right. The fingers keep their general shape, though the right gripper becomes motion-blurred and slightly smeared during the fast lift. Scene & object consistency: the white table, brown cardboard box, bubble wrap, and small blue and red product box are identifiable, but the packing sequence is not temporally coherent. The bubble wrap suddenly appears as a large sheet over the box, while the product box is first visible on the right table, then seems inside the wrap, then partly hidden or displaced. The cardboard flaps and box interior stay roughly fixed, but the contents change position without a continuous path from the table to the box. Interaction realism: the right gripper does not visibly grasp the bubble wrap or product box before they move; the sheet rises and settles as if thrown or teleported. The wrap deforms and hangs plausibly in some frames, but its contact with the box, table, and gripper is ambiguous, with possible interpenetration and unsupported motion. Overall, the warehouse background and robot bodies are stable, but the packing action has major object continuity and contact-physics violations.",outside_194_absdiff1,unreviewed_audit_sample
40,PA,data__robotwin__generated_data__wow_wan14b_f105_rewrite__task_0176__episode_0001__1__task_0176_episode_0001,robotwin,wow_wan14b_f105_rewrite,task_0176,episode_0001,id,3,2,-1,model_lower_by_1,2/1/1,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/wow_wan14b_f105_rewrite/task_0176/episode_0001/1/task_0176_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/wow_wan14b_f105_rewrite/task_0176/episode_0001/1/prompt/init_frame.png,"Agent integrity: the black robot arm and two-finger gripper remain mostly recognizable, with the white sleeve and gray pad staying attached, though the wrist and fingers blur and change shape during the close contact. Scene & object consistency: the patterned tabletop, orange basket, blue cup, purple cup, yellow block, and flower pot stay fixed, but the red and yellow snack box changes size, orientation, and printed face abruptly. The blue rectangular phone also shifts from lying flat near the gripper to being partly under the arm and then back on the table, without a continuous visible path. Interaction realism: the robot appears to push or press the phone and snack box, but the phone slides and rotates with little believable friction, and the box tips and relocates as if nudged by an unseen force. The gripper sometimes overlaps the phone edge and box corner, making contact ambiguous, while the objects settle in new positions without clear collision response. Overall the scene has a stable background, but the manipulation shows major object morphing, discontinuous motion, and weak contact physics.",outside_194_absdiff1,unreviewed_audit_sample
41,PA,data__egodex_human__generated_data__wan26_flash_prefix__task_0126__episode_0001__1__task_0126_episode_0001,egodex_human,wan26_flash_prefix,task_0126,episode_0001,id,4,5,1,model_higher_by_1,2/2/1,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/wan26_flash_prefix/task_0126/episode_0001/1/task_0126_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/egodex_human/generated_data/wan26_flash_prefix/task_0126/episode_0001/1/prompt/init_frame.png,"Agent integrity: both human hands and forearms remain anatomically consistent, with stable fingers, wrists, and cream sleeves; no extra digits, melting, or warping is visible. Scene & object consistency: the green tablecloth, beige wall, dark baseboard, gray curtain, and orange ball stay fixed in identity and appearance; the cloth wrinkles and wall seam do not flicker. Interaction realism: the left hand holds the orange ball near the wall, then lowers it onto the green surface; the ball remains supported by the cloth. The right hand stays open and nearby, and the ball does not float, teleport, or pass through the fingers. Minor issues include slightly ambiguous fingertip contact and a small motion blur during the release, but the placement and gravity behavior remain physically plausible.",outside_194_absdiff1,unreviewed_audit_sample
42,PA,data__droid__generated_data__abot_physworld_f113_rewrite__task_0082__episode_0001__1__task_0082_episode_0001,droid,abot_physworld_f113_rewrite,task_0082,episode_0001,id,4,3,-1,model_lower_by_1,1/2/1,4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/abot_physworld_f113_rewrite/task_0082/episode_0001/1/task_0082_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/abot_physworld_f113_rewrite/task_0082/episode_0001/1/prompt/init_frame.png,"Agent integrity: the white robot arm, black wrist, and two-finger gripper remain structurally consistent throughout; the joints keep plausible shapes as the arm reaches over the wooden table. Scene & object consistency: the lab background, workbenches, seated person, stool, and table stay stable, but the blue cup and small blue block show noticeable temporal inconsistency. The cup appears to change from a small upright object into a taller cup, and the block seems to separate or duplicate near the table surface. Interaction realism: the gripper descends toward the cup and block, but the contact is visually ambiguous; the fingers do not clearly close around the cup rim or side. The blue block is lifted or displaced without a convincing grasp, and it appears to hover or detach from the cup rather than being physically carried. Overall the robot motion is mostly plausible, but the object morphing, unclear contact, and possible interpenetration create major physical realism violations.",outside_194_absdiff1,unreviewed_audit_sample
43,PA,data__open_x_embodiment__generated_data__veo31_lite_rewrite__task_0041__episode_0001__1__task_0041_episode_0001,open_x_embodiment,veo31_lite_rewrite,task_0041,episode_0001,id,4,3,-1,model_lower_by_1,1/2/2,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/veo31_lite_rewrite/task_0041/episode_0001/1/task_0041_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/open_x_embodiment/generated_data/veo31_lite_rewrite/task_0041/episode_0001/1/prompt/init_frame.png,"Agent integrity: the white robot arm and two-finger gripper remain structurally consistent throughout; the joints, wrist, and red fingertip pads do not visibly melt, duplicate, or warp. Scene & object consistency: the plate, blue block, purple cup, bowl, tablecloth, and background remain mostly stable, but the blue bowl’s contents and rim appearance change slightly as it is approached and lifted, and the blue block seems to shift position relative to the bowl in a somewhat ambiguous way. Interaction realism: the robot descends toward the bowl and appears to lift it, but the grasp is not physically convincing; the fingers seem to overlap or penetrate the bowl/contents rather than clearly closing around the rim, and the bowl rises with little visible support or deformation. The motion is broadly plausible, but contact mechanics and object rigidity are noticeably inconsistent.",outside_194_absdiff1,unreviewed_audit_sample
44,PA,data__robotwin__generated_data__gigaworld_gr1_2b_f113_rewrite__task_0103__episode_0001__1__task_0103_episode_0001,robotwin,gigaworld_gr1_2b_f113_rewrite,task_0103,episode_0001,id,4,3,-1,model_lower_by_1,2/2/1,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0103/episode_0001/1/task_0103_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/gigaworld_gr1_2b_f113_rewrite/task_0103/episode_0001/1/prompt/init_frame.png,"Agent integrity: the black robot arm and two-finger gripper remain mostly structurally consistent, with no obvious extra fingers or severe melting, though the gripper silhouette is somewhat ambiguous and changes shape slightly as it moves. Scene & object consistency: the tabletop objects are mostly stable, but the white bottle’s cap/lid changes appearance noticeably: it appears closed, then becomes an open green-rimmed opening, then later seems to return to a closed/covered state without a visible physical cause. The black device on the left also changes its top/side appearance slightly as the arm passes. Interaction realism: the robot presses on the black device, but the contact is not very physically convincing; the device does not react, and the gripper appears to overlap or press into the top surface. The bottle lid opening/closing is not physically explained by any contact, and the robot does not clearly grasp or manipulate it. Overall there are noticeable local inconsistencies, especially in the bottle state and contact behavior, but the scene is not completely broken.",outside_194_absdiff1,unreviewed_audit_sample
45,PA,data__robotwin__generated_data__kling_prefix__task_0039__episode_0001__1__task_0039_episode_0001,robotwin,kling_prefix,task_0039,episode_0001,id,4,3,-1,model_lower_by_1,2/2/1,5,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/kling_prefix/task_0039/episode_0001/1/task_0039_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/robotwin/generated_data/kling_prefix/task_0039/episode_0001/1/prompt/init_frame.png,"Agent integrity: the black robot arm and two-finger gripper remain structurally consistent throughout, with no obvious melting, extra parts, or severe warping; the gray pad and joints keep their shape as the arm moves. Scene & object consistency: the tabletop, bottle, mug, box, and dark sphere remain mostly stable, but the manipulated white object changes appearance noticeably: it starts as a flat folded/stacked item and then becomes a larger upright panel with a pale top flap, with some edges and small dark details appearing or shifting as it rotates. Interaction realism: the robot appears to push or lift the object, but the contact is ambiguous; the object rotates and rises as if attached to the gripper without a clearly visible secure grasp, and the top flap/panel seems to deform or reconfigure rather than behaving like a rigid object. There may also be slight interpenetration or unrealistic support at the contact point. Overall the motion is broadly plausible but has noticeable local physical and object-consistency issues.",outside_194_absdiff1,unreviewed_audit_sample
46,PA,data__droid__generated_data__kling_rewrite__task_0200__episode_0001__1__task_0200_episode_0001,droid,kling_rewrite,task_0200,episode_0001,id,5,4,-1,model_lower_by_1,2/2/2,6,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/kling_rewrite/task_0200/episode_0001/1/task_0200_episode_0001.mp4,https://huggingface.co/datasets/HuggingFriends/mllm-as-embodied-world-judge/resolve/main/data/droid/generated_data/kling_rewrite/task_0200/episode_0001/1/prompt/init_frame.png,"Agent integrity: the white robot arm, black wrist, and two-finger gripper remain structurally consistent throughout; the joints rotate coherently with no extra parts or deformation. Scene & object consistency: the gray table, clear glass, sign, black stand, chairs, people, and kitchen background stay stable; the glass keeps its cylindrical shape. Interaction realism: the gripper descends toward the glass, appears to close around it, lifts it from the tabletop, and carries it leftward in a plausible path. The glass follows the gripper without obvious slipping or teleporting, and its transparency and rim remain mostly consistent as it moves. Minor issues include the exact contact being partly hidden by the gripper and glass, with possible slight interpenetration or an under-specified grasp. The glass is set down near the table edge and then disappears from view, but the motion is broadly physically plausible with only small contact ambiguities.",outside_194_absdiff1,unreviewed_audit_sample
